T,P
-0.005249908127569364,0
-0.007249843775686127,3
-0.005249934938652138,3
0.009498936358091424,3
0.035483433748490785,3
0.043222791338171127,1
0.03473573076219846,0
0.04247250279830371,3
0.05743297154376653,4
0.08131879303303172,3
0.1132512827437141,2
0.11424804216742941,0
0.11597249424248261,3
0.12607481155415218,2
0.13393265863883824,4
0.1486402664202646,1
0.15571728420232206,3
0.17710167595950352,3
0.18364199781409396,1
0.18846587869476292,4
0.21838041339238642,4
0.25428647221342837,4
0.26594673638418087,3
0.28877463427899,4
0.30611089415730347,2
0.3058846303297344,1
0.3045247742275799,2
0.3137927155619239,4
0.33568979470220756,4
0.35113419348195013,3
0.3750067383540012,4
0.39586492795892697,2
0.3971402491236448,2
0.40238984701713215,2
0.4111512968610339,2
0.411984377337722,1
0.4185692652060247,3
0.43191025288643764,2
0.4452199231363469,4
0.4601335506506999,3
0.4838022045393714,4
0.5031149631713101,3
0.5232044214636817,2
0.5331030130028231,4
0.5434207318665376,2
0.5443014044647919,2
0.5556158371479358,4
0.5614818908587691,2
0.5738423056544697,4
0.5882217034280599,4
0.5987821896375959,3
0.6081429059582429,3
0.6158102630935509,4
0.6277772537867886,3
0.6329055475252249,2
0.6407585025504323,4
0.6518310727365613,3
0.6636927182344655,3
0.6788570519950337,3
0.6830161756243465,4
0.6839498230486865,1
0.6892129275939376,4
0.7002257435681722,2
0.7013733736946888,2
0.7030050881254739,3
0.7224288460328845,1
0.7253040539775304,3
0.7304732028405013,2
0.7388615407238499,4
0.7414750282012823,2
0.7458283969002345,3
0.749580993420723,3
0.7524113030734573,2
0.7552193440836611,2
0.7619935325852005,5
0.7733883583939302,3
0.7792653143295449,3
0.7810251861624095,3
0.7903836630604768,4
0.802543445495201,4
0.8093718778894556,3
0.8157505317709118,3
0.8174215454511884,1
0.8194764734264718,2
0.8278140823463855,3
0.8343345361072535,3
0.8381675602956857,4
0.8426466744391672,3
0.8480437765571889,4
0.8547347087275181,4
0.8591865944987598,3
0.862361960827702,2
0.8643377134373404,2
0.8649673969384555,2
0.8652832444184462,2
0.8683203894284656,3
0.871608511857769,2
0.8741053813298316,4
0.8772019252542267,2
0.8791056267696277,4
